2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","200","Bendigo","0","ABSENT","1","3","36706","SCHADE","Darin Courtney","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","20.940"
"VIC","200","Bendigo","0","ABSENT","1","3","36706","SCHADE","Darin Courtney","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","13"
"VIC","200","Bendigo","0","ABSENT","1","3","36706","SCHADE","Darin Courtney","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","26.000"
"VIC","200","Bendigo","0","ABSENT","1","4","36499","SINCLAIR","Catherine Margaret","GVIC","The Australian Greens - Victoria","N","Preference Count","442"
"VIC","200","Bendigo","0","ABSENT","1","4","36499","SINCLAIR","Catherine Margaret","GVIC","The Australian Greens - Victoria","N","Preference Percent","23.080"
"VIC","200","Bendigo","0","ABSENT","1","4","36499","SINCLAIR","Catherine Margaret","GVIC","The Australian Greens - Victoria","N","Transfer Count","2"
"VIC","200","Bendigo","0","ABSENT","1","4","36499","SINCLAIR","Catherine Margaret","GVIC","The Australian Greens - Victoria","N","Transfer Percent","4.000"
"VIC","200","Bendigo","0","ABSENT","1","5","36895","BANSEMER","Matthew Joseph","LDP","Liberal Democratic Party","N","Preference Count","0"
"VIC","200","Bendigo","0","ABSENT","1","5","36895","BANSEMER","Matthew Joseph","LDP","Liberal Democratic Party","N","Preference Percent","0.000"
"VIC","200","Bendigo","0","ABSENT","1","5","36895","BANSEMER","Matthew Joseph","LDP","Liberal Democratic Party","N","Transfer Count","-50"
"VIC","200","Bendigo","0","ABSENT","1","5","36895","BANSEMER","Matthew Joseph","LDP","Liberal Democratic Party","N","Transfer Percent","-100.000"
"VIC","200","Bendigo","0","ABSENT","1","6","37758","MIHAIL","Benjamin Joshua","ON","Pauline Hanson's One Nation","N","Preference Count","159"
"VIC","200","Bendigo","0","ABSENT","1","6","37758","MIHAIL","Benjamin Joshua","ON","Pauline Hanson's One Nation","N","Preference Percent","8.300"
"VIC","200","Bendigo","0","ABSENT","1","6","37758","MIHAIL","Benjamin Joshua","ON","Pauline Hanson's One Nation","N","Transfer Count","16"
"VIC","200","Bendigo","0","ABSENT","1","6","37758","MIHAIL","Benjamin Joshua","ON","Pauline Hanson's One Nation","N","Transfer Percent","32.000"
"VIC","200","Bendigo","0","ABSENT","1","7","35980","SUARES","Elijah","UAPP","United Australia Party","N","Preference Count","112"
"VIC","200","Bendigo","0","ABSENT","1","7","35980","SUARES","Elijah","UAPP","United Australia Party","N","Preference Percent","5.850"
"VIC","200","Bendigo","0","ABSENT","1","7","35980","SUARES","Elijah","UAPP","United Australia Party","N","Transfer Count","10"
"VIC","200","Bendigo","0","ABSENT","1","7","35980","SUARES","Elijah","UAPP","United Australia Party","N","Transfer Percent","20.000"
"VIC","200","Bendigo","0","ABSENT","2","1","37782","LAURIE","James Bonneville","IND","Independent","N","Preference Count","0"
"VIC","200","Bendigo","0","ABSENT","2","1","37782","LAURIE","James Bonneville","IND","Independent","N","Preference Percent","0.000"
