2022 Federal Election House of Representatives Votes By Division [Event:27966 Phase:FinalResults Generated:2022-07-19T10:29:59 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
166,Hinkler,QLD,117153,84147,1867,67,3362,15394,104837,89.49
216,Holt,VIC,107397,73332,4109,516,3802,13364,95123,88.57
217,Hotham,VIC,115974,77414,4136,522,3463,18355,103890,89.58
124,Hughes,NSW,107279,84842,2779,219,2896,10560,101296,94.42
125,Hume,NSW,121712,94439,3536,342,3311,11174,112802,92.68
126,Hunter,NSW,128370,99679,3153,316,3009,10471,116628,90.85
218,Indi,VIC,117447,86429,1886,204,4868,14057,107444,91.48
219,Isaacs,VIC,110673,76860,3635,334,2883,17854,101566,91.77
220,Jagajaga,VIC,113162,81304,3554,299,4528,15561,105246,93
167,Kennedy,QLD,114399,81062,2888,293,3524,9008,96775,84.59
127,Kingsford Smith,NSW,115299,83758,2599,337,3422,11922,102038,88.5
186,Kingston,SA,124441,86936,3967,380,3091,19324,113698,91.37
221,Kooyong,VIC,112972,77455,3434,300,4707,19667,105563,93.44
223,La Trobe,VIC,105791,71313,4135,213,3515,16979,96155,90.89
222,Lalor,VIC,106949,73050,2912,540,3974,13798,94274,88.15
168,Leichhardt,QLD,117214,80582,2088,309,3975,11468,98422,83.97
169,Lilley,QLD,112302,73642,3938,745,3332,20100,101757,90.61
128,Lindsay,NSW,124660,95520,2607,384,2504,11465,112480,90.23
306,Lingiari,NT,74008,43928,915,254,2142,2220,49459,66.83
302,Longman,QLD,129001,85042,2835,241,4405,21219,113742,88.17
130,Lyne,NSW,124499,98804,2901,207,3436,9463,114811,92.22
196,Lyons,TAS,85166,60901,3590,247,1560,11972,78270,91.9
131,Macarthur,NSW,133408,100255,3888,444,4149,11037,119773,89.78
132,Mackellar,NSW,111170,84014,2825,218,3366,12452,102875,92.54
322,Macnamara,VIC,110603,66121,4764,355,5189,19904,96333,87.1
133,Macquarie,NSW,108054,84228,2586,222,2485,11026,100547,93.05
187,Makin,SA,123112,86566,4846,532,2729,17608,112281,91.2
224,Mallee,VIC,120129,90896,1900,256,3911,11379,108342,90.19
170,Maranoa,QLD,109005,70301,2569,228,3121,20130,96349,88.39
225,Maribyrnong,VIC,108937,72246,3314,388,5147,17790,98885,90.77
188,Mayo,SA,130646,97701,3859,386,4617,15827,122390,93.68
226,McEwen,VIC,108036,72714,4797,389,4273,17464,99637,92.23
315,McMahon,NSW,107217,77290,3815,427,2462,10805,94799,88.42
171,McPherson,QLD,117232,77546,2924,333,5727,16118,102648,87.56
228,Melbourne,VIC,114388,69119,6448,426,7835,15671,99499,86.98
229,Menzies,VIC,112743,77458,3526,245,3411,19734,104374,92.58
134,Mitchell,NSW,121363,89944,3704,327,3758,15271,113004,93.11
323,Monash,VIC,111082,80069,2764,246,4368,14017,101464,91.34
172,Moncrieff,QLD,122546,78942,3578,394,3815,17469,104198,85.03
242,Moore,WA,119305,82626,4602,344,4716,16788,109076,91.43
173,Moreton,QLD,107115,64693,3577,422,4712,21777,95181,88.86
135,New England,NSW,113303,90858,2002,222,2854,7830,103766,91.58
136,Newcastle,NSW,122452,92353,3027,319,3695,12271,111665,91.19
324,Nicholls,VIC,114386,87062,2115,295,3944,9934,103350,90.35
137,North Sydney,NSW,111694,79830,2791,267,3094,16274,102256,91.55
243,O'Connor,WA,117798,80830,3913,391,3865,13625,102624,87.12
174,Oxley,QLD,112658,73349,3378,429,3132,18706,98994,87.87
138,Page,NSW,122892,97229,2236,230,3303,9410,112408,91.47
139,Parkes,NSW,109000,82821,2211,259,3521,7689,96501,88.53
140,Parramatta,NSW,105465,71728,3835,462,2644,13855,92524,87.73
249,Paterson,NSW,132040,102904,2738,270,2835,12280,121027,91.66
