2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","323","Monash","0","ABSENT","1","2","36737","BROADBENT","Russell Evan","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Count","2"
"VIC","323","Monash","0","ABSENT","1","2","36737","BROADBENT","Russell Evan","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Percent","7.690"
"VIC","323","Monash","0","ABSENT","1","3","36065","LEONARD","Deborah Louise","IND","Independent","N","Preference Count","196"
"VIC","323","Monash","0","ABSENT","1","3","36065","LEONARD","Deborah Louise","IND","Independent","N","Preference Percent","7.550"
"VIC","323","Monash","0","ABSENT","1","3","36065","LEONARD","Deborah Louise","IND","Independent","N","Transfer Count","8"
"VIC","323","Monash","0","ABSENT","1","3","36065","LEONARD","Deborah Louise","IND","Independent","N","Transfer Percent","30.770"
"VIC","323","Monash","0","ABSENT","1","4","37629","HICKEN","Allan Luke","ON","Pauline Hanson's One Nation","N","Preference Count","238"
"VIC","323","Monash","0","ABSENT","1","4","37629","HICKEN","Allan Luke","ON","Pauline Hanson's One Nation","N","Preference Percent","9.170"
"VIC","323","Monash","0","ABSENT","1","4","37629","HICKEN","Allan Luke","ON","Pauline Hanson's One Nation","N","Transfer Count","8"
"VIC","323","Monash","0","ABSENT","1","4","37629","HICKEN","Allan Luke","ON","Pauline Hanson's One Nation","N","Transfer Percent","30.770"
"VIC","323","Monash","0","ABSENT","1","5","37637","WELSH","David Matthew","CYA","Australian Federation Party","N","Preference Count","0"
"VIC","323","Monash","0","ABSENT","1","5","37637","WELSH","David Matthew","CYA","Australian Federation Party","N","Preference Percent","0.000"
"VIC","323","Monash","0","ABSENT","1","5","37637","WELSH","David Matthew","CYA","Australian Federation Party","N","Transfer Count","-26"
"VIC","323","Monash","0","ABSENT","1","5","37637","WELSH","David Matthew","CYA","Australian Federation Party","N","Transfer Percent","-100.000"
"VIC","323","Monash","0","ABSENT","1","6","36455","O'DONNELL","Jessica Anne","ALP","Australian Labor Party (Victorian Branch)","N","Preference Count","598"
"VIC","323","Monash","0","ABSENT","1","6","36455","O'DONNELL","Jessica Anne","ALP","Australian Labor Party (Victorian Branch)","N","Preference Percent","23.040"
"VIC","323","Monash","0","ABSENT","1","6","36455","O'DONNELL","Jessica Anne","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Count","2"
"VIC","323","Monash","0","ABSENT","1","6","36455","O'DONNELL","Jessica Anne","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Percent","7.690"
"VIC","323","Monash","0","ABSENT","1","7","36914","EDWARDS","Megan Jane","LDP","Liberal Democratic Party","N","Preference Count","96"
"VIC","323","Monash","0","ABSENT","1","7","36914","EDWARDS","Megan Jane","LDP","Liberal Democratic Party","N","Preference Percent","3.700"
